"","","mean of x",""
"1",0.382842071543511,0.419629927343246,0.449918696733837
"2",0.347326477386488,0.3626913187681,0.376022893063756
"3",0.200914878437767,0.22804024488778,0.25161807448488
"4",0.186773993282953,0.215961083735002,0.240970572831694
