"","","mean of x","","","mean of x",""
"1",22.8226635865164,23.7317558766448,24.6408481667731,26.9067977853312,29.6262777055177,32.3457576257043
"2",19.6761292750217,20.2386943012043,20.8012593273869,26.5145812360323,28.7291261532598,30.9436710704872
"3",18.5868174939911,19.4886781843886,20.3905388747861,25.4273221406481,27.7120286941059,29.9967352475637
"4",18.7000833464927,19.5480282085312,20.3959730705696,25.4401209241174,27.5448838821036,29.6496468400898
"5",18.8901703572774,19.6936476603082,20.4971249633389,25.9981640511491,28.0095905215108,30.0210169918724
